SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_pIC50,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,p_IC50,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,acrylamide,chloroacetamide,series,frag_id
CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-e1dab717-11,LUO-POS-e1dab717-11,,,#NUM!,,,,6.560480614,0.275118241,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,LUO-POS-e1dab717-12,LUO-POS-e1dab717-12,,,#NUM!,,,,6.693003172,0.202766791,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,MAT-POS-e48723dc-1,MAT-POS-e48723dc-1,,,#NUM!,,,,4.256067535,55.45394722,,,,,,FALSE,FALSE,Ugi,
CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,MAT-POS-e48723dc-2,MAT-POS-e48723dc-2,,,#NUM!,,,,7.301029987,0.050000001,,,,,,FALSE,FALSE,Ugi,
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-9931618f-2,LUO-POS-9931618f-2,,,#NUM!,,,,7.277722831,0.052756645,,,,,,FALSE,FALSE,Ugi,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,EDJ-MED-b6c6ee2b-2,EDJ-MED-b6c6ee2b-2,,,#NUM!,,,,6.814514695,0.153279934,,,,,,FALSE,FALSE,3-aminopyridine-like,
COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,EDJ-MED-b6c6ee2b-3,EDJ-MED-b6c6ee2b-3,,,#NUM!,,,,6.667793725,0.214885086,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-5,EDJ-MED-5cd3920d-5,,,#NUM!,,,,6.808685377,0.155351204,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,EDJ-MED-5cd3920d-6,EDJ-MED-5cd3920d-6,,,#NUM!,,,,6.805043771,0.156659317,,,,,,FALSE,FALSE,,
CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-1,MAT-POS-50a80394-1,,,#NUM!,,,,6.972477092,0.106542506,,,,,,FALSE,FALSE,3-aminopyridine-like,
CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-2,MAT-POS-50a80394-2,,,#NUM!,,,,7.128377398,0.074408509,,,,,,FALSE,FALSE,3-aminopyridine-like,
CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-5,MAT-POS-be048f2c-5,,,#NUM!,,,,6.527225903,0.297012069,,,,,,FALSE,FALSE,3-aminopyridine-like,
CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-6,MAT-POS-be048f2c-6,,,#NUM!,,,,6.572449354,0.267639769,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C(c1ccnn1C1CC1)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-7,MAT-POS-be048f2c-7,,,#NUM!,,,,6.788143713,0.162875697,,,,,,FALSE,FALSE,3-aminopyridine-like,
Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,EDJ-MED-cc48ee33-4,EDJ-MED-cc48ee33-4,,,#NUM!,,,,6.165587044,0.682987815,,,,,,FALSE,FALSE,3-aminopyridine-like,
Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1,EDJ-MED-cc48ee33-5,EDJ-MED-cc48ee33-5,,,#NUM!,,,,6.333498856,0.463982012,,,,,,FALSE,FALSE,3-aminopyridine-like,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1,EDJ-MED-fb79a796-3,EDJ-MED-fb79a796-3,,,#NUM!,,,,4.256935743,55.3431987,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)C1,MAT-POS-38eb6498-3,MAT-POS-38eb6498-3,,,#NUM!,,,,6.678648595,0.209580757,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-58cd43d0-1,MIK-UNK-58cd43d0-1,,,#NUM!,,,,6.140642685,0.723364706,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-122557fa-1,MIK-UNK-122557fa-1,,,#NUM!,,,,4.002176919,99.5,,,,,,FALSE,FALSE,3-aminopyridine-like,
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-1619f2e2-1,MIK-UNK-1619f2e2-1,,,#NUM!,,,,6.628118976,0.23544042,,,,,,FALSE,FALSE,3-aminopyridine-like,
O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-78dbf1b8-1,MIK-UNK-78dbf1b8-1,,,#NUM!,,,,6.687952807,0.205138508,,,,,,FALSE,FALSE,3-aminopyridine-like,
